,strain,High,Low
69,cinderella-99,17 ,13
70,cookies-kush,20 ,15
71,zookies,20 ,17
72,cheese,18 ,14
73,jet-fuel,20 ,16
74,mango-kush,21 ,16
75,lsd,19 ,14
76,lemon-og,22 ,16
77,grease-monkey,24 ,19
78,kosher-kush,22 ,18
79,critical-kush,20 ,15
80,lemon-kush,21 ,17
81,white-rhino,19 ,15
82,pink-kush,18 ,15
83,acdc,1,0
84,slurricane,19 ,17
85,gelato-33,21 ,16
86,ghost-og,23 ,17
87,thin-mint,21 ,16
88,blackberry-kush,18 ,13
89,wedding-crasher,25 ,21
90,acapulco-gold,20 ,15
91,superglue,21 ,17
92,afghan-kush,19 ,14
93,golden-goat,20 ,16
94,khalifa-kush,20 ,19
95,gods-gift,17 ,14
96,banana-og,23 ,18
97,lemon-skunk,20 ,15
98,chocolope,18 ,13
99,sour-tangie,20 ,15
100,super-sour-diesel,22 ,16
101,platinum-kush,20 ,15
102,orange-cookies,20 ,16
103,purple-urkle,18 ,13
104,tangerine-dream,18 ,14
105,gorilla-cookies,21 ,15
106,amnesia,19 ,15
107,death-star,21 ,14
108,hindu-kush,19 ,15
109,white-buffalo,19 ,16
110,clementine,19 ,13
111,black-diamond,18 ,14
112,larry-og,20 ,15
113,nyc-diesel,21 ,17
114,silver-haze,23 ,19
115,fpog,19 ,15
116,blueberry-kush,18 ,14
117,blueberry-muffins,18 ,14
118,24k-gold,22 ,19
119,haze,22 ,14
120,critical-mass,19 ,15
121,sour-og,22 ,15
122,venom-og,20 ,17
123,cannatonic,7 ,3
124,lemon-cake,23 ,17
125,afghani,17 ,13
126,true-og,20 ,17
127,xj-13,18 ,15
128,key-lime-pie,19 ,16
129,jillybean,17 ,13
130,the-white,23 ,18
131,papaya,17 ,13
132,tropicana-cookies,19 ,15
133,moby-dick,17 ,13
134,ice-cream,21 ,17
135,gushers,25 ,23
136,island-sweet-skunk,19 ,15
137,mk-ultra,21 ,17
138,kandy-kush,19 ,14
139,holy-grail-kush,22 ,16
140,blue-diesel,18 ,14
141,fruit-punch,18 ,14
142,platinum-bubba-kush,17 ,13
143,dutch-treat,21 ,17
144,dutch-hawaiian,20 ,15
145,lamb-s-bread,18 ,15
146,orange-kush,18 ,14
147,super-skunk,18 ,14
148,agent-orange,16 ,12
149,chernobyl,20 ,15
150,grapefruit,19 ,15
151,black-jack,20 ,16
152,gorilla-grapes,16 ,12
153,diamond-og,20 ,16
154,sensi-star,21 ,16
155,monster-cookies,22 ,17
156,cotton-candy-kush,18 ,14
157,blackwater,20 ,15
158,godfather-og,20 ,14
159,shishkaberry,18 ,14
160,mango,19 ,15
161,triangle-kush,21 ,17
162,blackberry,19 ,15
163,3-kings,19 ,14
164,juicy-fruit,20 ,13
165,lemon-tree,18 ,17
166,motorbreath,26 ,20
167,mr-nice,17 ,13
168,flo,18 ,13
169,romulan,18 ,13
170,rockstar,18 ,16
171,pineapple-kush,18 ,15
172,og-18,23 ,18
173,lemon-meringue,21 ,18
174,mango-haze,18 ,15
175,obama-kush,19 ,15
176,laughing-buddha,21 ,19
177,blueberry-headband,19 ,15
178,orange-crush,19 ,15
179,cheese-quake,21 ,16
180,god-bud,17 ,14
181,blue-zkittlez,17 ,13
182,rainbow,18 ,14
183,sour-kush,21 ,16
184,white-russian,19 ,14
185,pineapple,19 ,15
186,sweet-tooth,19 ,16
187,white-tahoe-cookies,23 ,20
188,purple-trainwreck,17 ,14
189,dogwalker-og,24 ,20
190,jr,19 ,17
191,lemon-diesel,19 ,13
192,white-shark,18 ,13
193,ogkb,25 ,20
194,jungle-cake,24 ,19
195,pineapple-chunk,19 ,15
196,xxx-og,20 ,16
197,purple-diesel,17 ,12
198,nuken,23 ,19
199,charlottes-web,1,0
200,space-bomb,15 ,10
201,mandarin-cookies,20 ,17
202,black-domina,20 ,15
203,strawberry-kush,20 ,12
204,star-killer,23 ,19
205,remedy,1,0
206,tutankhamon,18 ,14
207,pennywise,8 ,5
208,big-bud,17 ,13
209,sugar-cookie,24 ,19
210,uk-cheese,18 ,15
211,california-orange,16 ,13
212,hash-plant,19 ,14
213,east-coast-sour-diesel,21 ,17
214,pre-98-bubba-kush,18 ,13
215,power-plant,21 ,14
216,cat-piss,19 ,15
217,j1,21 ,16
218,alien-dawg,19 ,14
219,face-off-og,23 ,16
220,goji-og,21 ,17
221,king-kush,22 ,18
222,deadhead-og,20 ,15
223,lavender,19 ,15
224,707-headband,20 ,14
225,banana-split,21 ,14
226,liberty-haze,21 ,16
227,sour-apple,16 ,13
228,wookies,22 ,19
229,3x-crazy,14 ,12
230,bubblegum-kush,16 ,15
231,dream-queen,19 ,14
232,dolato,27 ,22
233,mendocino-purps,15 ,11
234,hawaiian,22 ,17
235,pink-lemonade,20 ,16
236,thc-bomb,21 ,14
237,chronic,16 ,12
238,red-dragon,19 ,15
239,pink-cookies,21 ,19
240,purple-og-kush,17 ,14
241,candy-jack,20 ,18
242,paris-og,22 ,19
243,cinex,17 ,13
244,orange-bud,18 ,13
245,double-dream,20 ,16
246,presidential-og,19 ,15
247,rudeboi-og,22 ,18
248,diablo,21 ,19
249,golden-pineapple,22 ,18
250,zombie-kush,13 ,11
251,black-mamba,22 ,16
252,kimbo-kush,20 ,15
253,strawberry-diesel,20 ,13
254,bubba-og,18 ,16
255,jack-the-ripper,18 ,14
256,harle-tsu,1,0
257,blueberry-cookies,17 ,13
258,purple-candy,17 ,14
259,afgoo,20 ,13
260,ice,18 ,14
261,sour-banana-sherbet,22 ,16
262,banjo,19 ,18
263,snowcap,20 ,15
264,lucky-charms,22 ,18
265,violator-kush,16 ,14
266,black-cherry-soda,20 ,15
267,vanilla-kush,19 ,16
268,yoda-og,19 ,15
269,peanut-butter-breath,25 ,20
270,legend-og,23 ,18
271,cherry-kush,20 ,16
272,sour-cookies,22 ,17
273,boss-og,19 ,18
274,kali-mist,19 ,16
275,royal-highness,17 ,15
276,sour-tsunami,1,0
277,white-cookies,21 ,15
278,jesus-og,22 ,17
279,sunshine,24 ,22
280,strawberry,17 ,12
281,cookie-dough,22 ,17
282,phantom-cookies,20 ,15
283,thai,19 ,18
284,og-chem,25 ,17
