,strain,High,Low
80,lemon-kush,1,0
81,white-rhino,1,0
82,pink-kush,1,0
83,acdc,15 ,11
84,slurricane,1,0
85,gelato-33,1,0
86,ghost-og,1,0
87,thin-mint,1,0
88,blackberry-kush,1,0
89,wedding-crasher,1,0
90,acapulco-gold,1,0
91,superglue,1,0
92,afghan-kush,1,0
93,golden-goat,1,0
94,khalifa-kush,1,0
95,gods-gift,1,0
96,banana-og,1,0
97,lemon-skunk,1,0
98,chocolope,1,0
99,sour-tangie,1,0
100,super-sour-diesel,1,0
101,platinum-kush,1,0
102,orange-cookies,1,0
103,purple-urkle,1,0
104,tangerine-dream,1,0
105,gorilla-cookies,1,0
106,amnesia,1,0
107,death-star,1,0
108,hindu-kush,1,0
109,white-buffalo,1,0
110,clementine,1,0
111,black-diamond,1,0
112,larry-og,1,0
113,nyc-diesel,1,0
114,silver-haze,1,0
115,fpog,1,0
116,blueberry-kush,1,0
117,blueberry-muffins,1,0
118,24k-gold,1,0
119,haze,1,0
120,critical-mass,1,0
121,sour-og,1,0
122,venom-og,1,0
123,cannatonic,10 ,6
124,lemon-cake,1,0
125,afghani,1,0
126,true-og,1,0
127,xj-13,1,0
128,key-lime-pie,1,0
129,jillybean,1,0
130,the-white,1,0
131,papaya,1,0
132,tropicana-cookies,1,0
133,moby-dick,1,0
134,ice-cream,1,0
135,gushers,1,0
136,island-sweet-skunk,1,0
137,mk-ultra,1,0
138,kandy-kush,1,0
139,holy-grail-kush,1,0
140,blue-diesel,1,0
141,fruit-punch,1,0
142,platinum-bubba-kush,1,0
143,dutch-treat,1,0
144,dutch-hawaiian,1,0
145,lamb-s-bread,1,0
146,orange-kush,1,0
147,super-skunk,1,0
148,agent-orange,1,0
149,chernobyl,1,0
150,grapefruit,1,0
151,black-jack,1,0
152,gorilla-grapes,1,0
153,diamond-og,1,0
154,sensi-star,1,0
155,monster-cookies,1,0
156,cotton-candy-kush,1,0
157,blackwater,1,0
158,godfather-og,1,0
159,shishkaberry,1,0
160,mango,1,0
161,triangle-kush,1,0
162,blackberry,1,0
163,3-kings,1,0
164,juicy-fruit,1,0
165,lemon-tree,1,0
166,motorbreath,1,0
167,mr-nice,1,0
168,flo,1,0
169,romulan,1,0
170,rockstar,1,0
171,pineapple-kush,1,0
172,og-18,1,0
173,lemon-meringue,1,0
174,mango-haze,1,0
175,obama-kush,1,0
176,laughing-buddha,1,0
177,blueberry-headband,1,0
178,orange-crush,1,0
179,cheese-quake,1,0
180,god-bud,1,0
181,blue-zkittlez,1,0
182,rainbow,1,0
183,sour-kush,1,0
184,white-russian,1,0
185,pineapple,1,0
186,sweet-tooth,1,0
187,white-tahoe-cookies,1,0
188,purple-trainwreck,1,0
189,dogwalker-og,1,0
190,jr,1,0
191,lemon-diesel,1,0
192,white-shark,1,0
193,ogkb,1,0
194,jungle-cake,1,0
195,pineapple-chunk,1,0
196,xxx-og,1,0
197,purple-diesel,1,0
198,nuken,1,0
199,charlottes-web,13 ,11
200,space-bomb,1,0
201,mandarin-cookies,1,0
202,black-domina,1,0
203,strawberry-kush,1,0
204,star-killer,1,0
205,remedy,15 ,11
206,tutankhamon,1,0
207,pennywise,8 ,6
208,big-bud,1,0
209,sugar-cookie,1,0
210,uk-cheese,1,0
211,california-orange,1,0
212,hash-plant,1,0
213,east-coast-sour-diesel,1,0
214,pre-98-bubba-kush,1,0
215,power-plant,1,0
216,cat-piss,1,0
217,j1,1,0
218,alien-dawg,1,0
219,face-off-og,1,0
