,strain,Myrcene,Pinene,Caryophyllene,Limonene,Humulene,Terpinolene,Linalool,Ocimene
30,bruce-banner,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
31,strawberry-cough,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
32,blue-cookies,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
33,mendo-breath,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
34,9-pound-hammer,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
35,blueberry,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
36,super-silver-haze,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
37,mac,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
38,ice-cream-cake,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
39,sfv-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
40,alien-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
41,animal-cookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
42,alaskan-thunder-fuck,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
43,tangie,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
44,ghost-train-haze,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
45,grape-ape,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
46,blue-cheese,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
47,birthday-cake-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
48,tahoe-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
49,king-louis,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
50,candyland,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
51,master-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
52,strawberry-banana,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
53,banana-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
54,sundae-driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,gmo-cookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
56,fire-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
57,purple-kush,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
58,cookies-and-cream,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
59,headband,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
60,g-13,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
61,la-confidential,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
62,harlequin,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
63,platinum-gsc,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
64,maui-wowie,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
65,platinum-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
66,berry-white,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
67,purple-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,white-fire-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
69,bubble-gum,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
70,cinderella-99,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
71,cookies-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,zookies,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
73,cheese,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
74,jet-fuel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
75,mango-kush,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
76,lsd,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
77,lemon-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,grease-monkey,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
79,kosher-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
80,critical-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
81,lemon-kush,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
82,white-rhino,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
83,pink-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,acdc,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
85,slurricane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,gelato-33,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
87,ghost-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
88,thin-mint,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
89,blackberry-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
90,wedding-crasher,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
91,acapulco-gold,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
92,superglue,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
93,afghan-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
94,golden-goat,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
95,khalifa-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,gods-gift,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
97,banana-og,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
98,lemon-skunk,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
99,chocolope,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
100,sour-tangie,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
101,super-sour-diesel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
102,platinum-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
103,orange-cookies,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
104,purple-urkle,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
105,tangerine-dream,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
106,gorilla-cookies,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
107,amnesia,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
108,death-star,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
109,hindu-kush,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
110,white-buffalo,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
111,clementine,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
112,black-diamond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,larry-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
114,nyc-diesel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
115,silver-haze,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
116,fpog,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
117,blueberry-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,blueberry-muffins,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
119,24k-gold,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
120,haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,skunk-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,critical-mass,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
123,sour-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
124,venom-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
125,cannatonic,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
126,lemon-cake,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
127,afghani,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
128,true-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
129,xj-13,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
130,key-lime-pie,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
131,paradise-waits,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,member-berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,jillybean,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
134,the-white,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
135,papaya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,tropicana-cookies,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
137,moby-dick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,ice-cream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,gushers,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,island-sweet-skunk,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
141,mk-ultra,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
142,kandy-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
143,holy-grail-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
144,blue-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,fruit-punch,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
146,platinum-bubba-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
147,dutch-treat,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
148,dutch-hawaiian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,lamb-s-bread,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
