,strain,Myrcene,Pinene,Caryophyllene,Limonene,Humulene,Terpinolene,Linalool,Ocimene
341,purple-chemdawg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,fruit-loops,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
343,phantom-og,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
344,blueberry-diesel,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
345,purple-hindu-kush,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
346,bruce-banner-3,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
347,lemon-g,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
348,hardcore-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
349,platinum-purple-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350,dr-who,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
351,white-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,elmers-glue,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
353,rocket-fuel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354,snoop-dogg-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355,poison-fruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356,grape-god,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
357,casey-jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358,98-white-widow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359,mob-boss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360,citrus-sap,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
361,blueberry-haze,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
362,purple-dragon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363,king-kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364,canna-tsu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365,sour-space-candy,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
366,og-shark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
367,scooby-snack,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
368,ace-of-spades,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
369,herojuana,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
370,blue-magoo,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
371,dark-star,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
372,royal-kush,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
373,red-congolese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,mint-chocolate-chip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
375,black-dog,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
376,ayahuasca-purple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
377,donkey-butter,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
378,raskal-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,larry-bird-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,lemonhead-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
381,cherry-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
382,cheetah-piss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,lilac-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,cannalope-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,moonshine-haze,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
386,green-poison,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,godzilla-glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,alien-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,docs-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
390,red-headed-stranger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,hawaiian-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,the-original-lemonnade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,sugar-black-rose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,sour-jack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,banana-punch-9,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
396,hawaiian-snow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,lifter,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
398,blue-sherbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,blue-haze,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
400,quantum-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
401,bio-jesus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402,cherry-bomb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,shark-shock,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
404,blueberry-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
405,raspberry-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
406,vortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,dj-short-blueberry,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
408,crescendo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
409,wappa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,willys-wonder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
411,cherry-ak-47,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
412,black-cherry-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,delahaze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
414,super-jack,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
415,rollex-og-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
416,big-smooth,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
417,zombie-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
418,midnight,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,pink-champagne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,chocolate-mint-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,blissful-wizard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422,cbd-critical-mass,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
423,501st-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
424,abusive-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,strawberry-lemonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,mazar-x-blueberry-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,lavender-jones,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,hippie-crippler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,guava-dawg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,i-95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
431,bacio-gelato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,big-budda-cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,grape-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,cream-caramel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,vanilla-frosting,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,outer-space,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,golden-ticket,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
438,critical-plus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,huckleberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
440,peach-cobbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
441,cookie-monster,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
442,arjans-strawberry-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,lemon-cookies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444,crystal-coma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
445,chocolate-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
446,tutti-frutti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
447,snoop-s-dream,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
448,mai-tai-cookies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
449,tangerine-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
450,chemo,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
451,panama-red,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,cherry-wine,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
453,the-black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
454,snow-white,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
455,sojay-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
456,dosi-punch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,dirty-girl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
458,purple-dream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
459,jedi-kush,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
460,chocolate-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
461,medihaze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
462,blue-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
463,spk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
464,bio-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
465,black-lime-special-reserve,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
466,gummy-bears,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
467,somango,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,kosher-tangie,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
469,plushberry,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
470,incredible-bulk,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
471,wookie,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
472,chiesel,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
473,blue-frost,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
474,blue-god,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
475,duct-tape,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
476,pie-hoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
477,tuna-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,berry-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
479,chocolate-thai,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
480,champagne-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
481,garlic-bud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
482,silverback-gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
483,scotts-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
484,money-maker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
485,tangerine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
486,melonade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
487,love-potion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
488,hurricane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489,8-ball-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
490,permafrost,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
491,pink-starburst,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,tangie-biscotti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
493,chocolate-hashberry,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
494,sour-grape,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
495,dragons-breath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
496,sweet-and-sour-widow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
497,white-berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
498,lemon-drop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
499,black-tuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500,mandarin-dreams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
501,stardawg-guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,strawberry-fields,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
503,melon-gum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,ecto-cooler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
505,gucci-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
506,mars-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
507,chiquita-banana,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
508,elektra,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
509,1024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
510,allen-wrench,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
511,suver-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,blue-mystic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
513,mothers-milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
514,lee-roy,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
515,grape-pie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,space-cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
517,peaches-and-cream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
518,aurora-indica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,pineapple-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,race-fuel-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,goo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,citrus-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,apple-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
524,mazar-i-sharif,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
525,cherry-cookies,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
526,rainmaker,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
527,sour-patch-kiss,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
528,kushberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
529,nebula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
530,kryptonite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531,inzane-in-the-membrane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,gobbstopper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,space-candy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,blue-diamond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,guava-cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,matanuska-thunder-fuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,skunk-ape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
538,mag-landrace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
539,critical-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,afgooey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,purple-panty-dropper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
542,super-blue-dream,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
543,captains-cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,ringos-gift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,purple-monkey-balls,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,grape-soda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,dancehall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,bakerstreet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
549,darth-vader-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,grape-jelly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
551,3-bears-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,pine-tar-kush,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
553,lodi-dodi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,silver-bubble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,blue-hawaiian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,strawberry-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
557,superman-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
558,blueberry-yum-yum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
559,dank-commander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
560,fortune-cookies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,mother-of-berries,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
562,pakistani-chitral-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
563,lemonberry,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
564,starfighter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
565,skunkberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
566,orange-sherbert,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
567,lemon-jack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
568,new-glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
569,critical-jack,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
570,nevilles-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
571,jungle-juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
572,silver-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
573,whitewalker-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
574,acai-berry-gelato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
575,memory-loss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
576,green-goblin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
577,lemon-garlic-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
578,deathstar-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
579,black-triangle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,honey-bananas,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
581,pure-power-plant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
582,shiva-skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
583,lime-skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
584,alien-bubba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
585,bay-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,buddhas-sister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
587,candy-cane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
588,wonder-woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
589,citral-glue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
590,22,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
591,pie-face-og,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
592,night-terror-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
593,og-skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
594,crunch-berry-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595,cold-creek-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
596,ak-48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
597,orange-cream,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
598,mandarin-sunset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599,double-tangie-banana,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
600,green-love-potion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
601,frosty,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
602,blue-moon-rocks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
603,extreme-cream,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
604,african,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
605,gorilla-blue,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
606,kashmir-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
607,pineapple-trainwreck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
608,white-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
609,blueberry-pie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
610,grandpas-breath,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
611,duke-nukem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612,alaska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
613,willie-nelson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
614,sage-n-sour,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
615,el-jeffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
616,sour-lemon-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
617,rockstar-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
618,monster-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
619,hog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
620,jack-flash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
621,grapefruit-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,snowball,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,josh-d-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,orange-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
625,lemon-thai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
626,afghan-skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
627,blue-kush,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
628,purple-berry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
629,jelly-breath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
630,cornbread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
631,mataro-blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
632,exodus-cheese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
633,orange-juice,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
634,katsu-bubba-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
635,blue-dragon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
636,jamaican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637,sirius-black,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
638,white-fire-43,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
639,sunshine-daydream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,mango-tango,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
641,bordello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
642,cannalope-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,power-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
644,la-kush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
645,la-woman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
646,pineapple-haze,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
647,cookie-wreck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
648,sour-joker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
649,sour-dubble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
650,pink-panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
651,northern-lights--5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
652,recon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,pot-of-gold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,tres-dawg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
655,captain-america-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,master-og,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
657,kong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
658,purple-ak-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
659,alien-rift,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
660,orange-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
661,banana-cream-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,slimer-og,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
663,gilz-nilz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
664,the-lime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
665,galactic-jack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
666,harlequin-gdp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
667,marmalade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
668,purple-sour-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
669,lost-coast-og,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
670,lemon-sativa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
671,tahoe-alien,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
672,guava-gelato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
673,chunky-diesel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
674,shoreline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
675,special-sauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
676,alpha-blue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
677,ether,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
678,jamaican-dream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
679,roz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
680,ogre,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
